Length,Width,Height
102.67,49.53,19.69
102.5,52.5,18.7
95.37,52.25,21.51
94.77,49.24,18.6
104.26,47.9,19.46
105.18,49.39,20.36
97.35,48.05,20.22
97.23,48.26,19.51
99.17,53.54,20.25
107.69,48.18,19.33
106.83,50.81,19.12
94.31,48.74,18.8
97.76,49.73,19.94
98.06,48.39,19.79
95.34,52.09,20.17
97.66,50.69,19.54
102.66,50.76,21.22
105.88,49.53,18.7
93.54,51.05,19.29
98.38,46.79,21.27
100.53,50,21.13
95.67,49.64,21.92
97.19,49.9,19.04
103,48.81,19.39
100.57,53.52,19.98
92.52,49.04,19.92
107.05,49.01,18.97
106.53,48.55,19.2
101.21,47.61,21.39
101.09,48.28,20.04
95.61,46.3,20.31
104.45,48.71,21.39
93.28,48.08,19.64
107.67,52.03,18.7
107.5,53.92,20.63
99.77,51.74,19.6
102.35,50.55,21.22
95.62,49.79,20.78
102.23,50.76,20.51
94.82,48.48,21.3
100.51,47.86,21.52
99.31,51.24,19.8
103.06,50.89,20.79
100.34,48.53,21.17
102.66,53.19,20.54
104.17,47.09,19.51
100.51,51.24,21.17
100.37,48.53,21.39
102.67,49.53,19.69
101.53,49.92,18.39
95.57,51.02,18.98
105.54,48.57,20.95
101.53,46.05,18.2
96.09,45.78,19.04
99.45,46.21,18.51
102.67,49.53,19.69
102.5,51.42,19.63
95.37,52.25,21.51
94.77,49.24,18.6
105.18,49.39,20.36
97.35,48.05,20.22
97.72,50.02,19.26
103.53,48.93,19.61
101.1,53.64,20.2
93.05,49.16,20.14
107.58,49.13,19.19
107.06,48.67,19.42
101.74,47.73,21.61
101.62,48.4,20.26
96.14,46.42,20.53
93.81,48.2,19.17
102.88,50.67,21.44
103.25,52.64,20.48
98.58,51.78,18.66
107.15,51.02,21.48
101.67,49.04,21.75
100.23,50.03,20.02
100.08,48.8,19.18
100.67,48.35,20.16
99.49,48.44,20.68
100.08,50.55,20.02
101.14,50.16,20.28
102.08,49.66,20.23
100.58,48.99,20.32
100.65,48.19,20.81
100.49,48.36,20.27
99.53,48.55,20.71
100.61,49.69,20.98
99.53,48.54,20.21
99.08,48.88,20.43
96.38,48.45,19.51
98.27,52.28,20.24
99.07,52.07,19.08
95.72,48.36,19.58
99.65,51.17,18.66
102.3,47.13,21.19
94.47,52.13,20.76
98.32,48.32,21.43
98.68,51.72,19.29
95.02,52.87,21.98
101.41,51.4,21.32
95.32,50.53,19.2
94.52,51.11,18.63
102.7,47.06,21.06
98.62,49.4,19.75
99.13,50.61,19.44
102.77,51.93,18.61
100.5,50,19
98.51,49.94,20.6
95.33,47.09,21.47
97.65,51.93,21.66
100.03,52.76,20.45
96.89,50.69,20.42
95.55,47.13,21.1
97.13,49.06,21.21
96.4,47.71,18.72
94.33,48.89,20.2
94.64,47.1,21.63
99.77,50.84,20.57
102.13,52.5,19.3
103.63,50.62,20
100.65,50,19.32
96.66,50.58,21.63
102.78,52.22,21.71
97.79,47.34,20.73
100.26,51.19,18.55
102.45,53,18.7
100.56,51.5,21.02
99.77,50.97,20.08
95.49,51.51,19.12
103.01,50.76,20.57
99.55,48.08,19.28
101.82,49.56,21.7
101.47,50.82,18.79
99.86,48.4,18.77
100.67,51.11,21.56
101.12,47.64,21.4
96.46,48.73,19.36
99.98,52.6,20.36
94,52.64,19.68
102.19,49.57,19.19
99.57,51.09,20.48
96.92,52.94,18.56
97.82,50.44,20.71
97.27,52.03,21.66
97.07,52.54,21.33
94.09,48.89,18.63
98.7,52.57,20.04
99.42,48.71,19.94
95.9,49.08,19.46
99.72,47.48,20.65
95.2,49.69,18.78
102.24,47.75,19.45
95.31,52.09,19.93
96.07,52.25,20.29
98.84,51.99,21.14
95.78,51.33,19.19
102.03,48,20.93
98.69,47.05,20.74
96.14,47.96,21.97
99.34,48.43,18.77
102.81,51.4,18.9
97.97,48.91,19.18
107.05,47.87,19.01
103.28,49.15,18.57
94.42,50.85,20.91
96.41,48.91,21.24
95.82,48.23,20.02
96.74,50.7,21.66
103.68,51.96,20.19
102.73,52.35,19.03
103.06,51.33,20.31
95.83,48.45,20.91
99.96,52.55,19.15
100.84,48.86,20.35
96.28,50.02,19.9
97.09,51.34,21.38
98.93,52.66,21.13
102.7,52.01,21.42
98.19,49.37,18.58
97.05,48.22,20.47
94.76,49.77,19.28
99.96,47.8,19.06
94.07,52.74,19.44
97.87,47.24,21.86
97.63,52.96,21.08
97.85,49.65,19.04
99.07,48.91,20.17
98.38,47.39,20.3
94.29,50.49,21.48
95.86,50.08,20.12
99.69,50.98,21.57
100.59,47.46,19.7
103.02,52.04,20.43
101.31,52.53,21.53
98.86,47.46,18.64
102.34,47.85,20.01
99.46,51.89,19.77
97.98,50.05,21.39
96.14,52.13,20.78
103.55,47.6,21.39
95.18,49.04,19.87
98.77,49.23,21.15
99.95,51.93,19.75
100.4,48.97,21.65
99.72,49.44,19.97
100.82,52.92,19.56
95.02,50.35,20.31
103,48.59,18.91
102.69,47.55,19.99
97.04,51.01,20.69
99.13,50.81,19.51
98.08,50.29,21.91
103.38,47.05,20.23
99.76,50.37,18.6
96.38,51.29,19.79
95.15,49.77,18.81
101.14,50.23,19.03
95.75,52.17,20.67
101.95,50.22,18.78
103.46,51.16,20.79
94.81,47.79,18.99
101.85,49.87,20.97
102.1,52.19,18.62
98.03,47.68,19.08
98.36,51.88,21.84
101.53,47.35,20.63
100.82,52.8,19.52
94.1,50.48,21.02
103.6,51.61,20.48
97.91,49.17,19.69
97.97,49.95,19.35
100.84,52.46,20.85
102.06,52.35,19.09
96.17,49.11,21.93
94.47,51.05,18.78
97.18,47.98,18.88
95.85,47.31,21.07
94.24,48.3,19.17
96.61,51.74,20.57
101.33,48.47,20.42
94.19,52.43,18.87
101.38,47.03,20.15
102.34,47.06,20.21
99.69,50.65,21.6
102.87,51.36,21.11
102.43,53,18.88
99.76,47.7,20.99
96.81,47.56,21.36
101.53,47.96,21.56
96.41,47.55,19.69
100.99,52.4,21.58
95.21,49.4,20.3
101.53,51.47,20.05
97.87,48.76,21.72
98.2,48.19,18.8
98.13,48.96,21.2
95.77,49.43,21.59
99.67,51.38,19.59
100.85,49.92,18.83
98.25,52.58,18.68
100.59,47.63,19.68
97.85,47.96,21.6
