Length,Width,Height
,,19.63
,49.24,
104.26,,
105.18,,
,48.05,
,53.54,
98.06,,
97.66,,
93.54,,
,49.04,19.92
,48.28,
93.28,48.08,19.64
,53.92,20.63
99.77,,
95.62,,
100.51,,
103.06,,
,47.09,
,,19.04
,46.21,
,51.42,
,49.24,18.6
97.72,,
103.53,,
,,20.2
,49.16,
93.81,,
,,21.44
,52.64,
98.58,,
,,21.48
,48.8,20.45
,48.35,
99.49,,
,,20.02
,49.66,
,48.55,
,50.04,
98.68,51.72,19.29
95.02,,
,51.11,
,,20.6
,,21.66
,,18.72
94.33,,
,,20.0
,50.58,
,52.22,21.71
,,21.02
,51.51,
103.01,,
,51.11,21.56
,52.64,
,52.03,20.0
97.07,,
,,20.04
95.2,,
96.07,52.25,
,47.05,
96.14,,
,48.91,19.18
,51.96,
95.83,,20.91
,,21.38
98.19,,
,,21.86
,,19.04
99.69,,21.57
,,20.01
99.46,,19.77
,,20.78
,47.6,
,50.35,
,,18.91
97.04,,
,,19.51
,50.29,21.91
,47.05,20.23
,,20.97
,52.19,
98.03,,
,47.35,
,,19.52
,,21.02
97.97,,
100.84,,
,,18.78
97.18,,
,47.31,
94.24,,
,,20.42
97.87,50.65,
,,20.99
,,21.36
100.99,,
,48.76,
,48.96,
100.59,,
,49.64,
,48.97,
,49.01,
94.31,,
,51.24,
101.33,,
102.02,,
97.19,,
,,21.07
,,19.99
94.17,,
101.55,,
,47.73,
,52.37,
98.44,,
98.63,,
,,20.61
,48.38,
,50.81,
,,19.14
100.28,,
99.27,49.93,
,50.57,
97.02,,
,49.88,
101.72,48.51,
,,18.95
97.01,,19.53
,,20.1
101.24,48.17,
,52.57,
,47.98,
,,20.36
94.52,,18.74
,49.29,
95.1,,
,52.02,
,,18.51
,,20.6
,50.35,20.83
,,19.12
96.82,,
,,22.0
,,18.68
,,20.01
97.52,,
94.5,47.65,
95.07,,
,50.99,
101.61,,
,,21.43
98.19,,
102.67,,
101.4,,
,51.89,19.11
,,19.83
96.11,,
,,21.36
